x,y,z,mach
-5.4891522,11.920847,-298.2744,3.95127
2.4991244,15.678529,-297.4556,5.0
2.6181329,13.857409,-304.71423,3.56856
7.0682474,3.7896042,-316.81387,5.0
8.8596151,8.254093,-305.23929,5.0
4.3595789,6.1675451,-308.53944,5.0
5.5206916,10.556818,-308.15611,5.0
3.1565682,11.28892,-307.03289,5.0
12.649612,9.5726578,-306.92458,4.49689
16.671384,8.4301542,-315.09605,5.0
14.254666,11.699544,-314.96144,5.0
9.5371165,11.769634,-313.71163,5.0
9.2010401,7.645456,-311.60781,5.0
7.6864679,9.5463601,-310.74221,5.0
4.8636935,8.5517256,-314.85134,5.0
3.7065924,11.026946,-313.74416,5.0
5.2487995,14.893496,-310.45962,3.82428
8.869421,15.400397,-312.65481,3.09128
14.876005,13.310393,-309.75805,5.0
12.986579,13.107477,-306.63174,5.0
13.098902,16.758854,-308.8042,4.20857
12.89164,17.631471,-306.95533,3.78488
10.096947,18.248354,-305.56467,3.33368
16.665144,21.187574,-307.23168,3.00186
4.0658464,18.257491,-303.20189,5.0
6.7286053,13.473863,-304.85775,5.0
8.487435,12.895869,-308.15834,5.0
6.1050365,12.102479,-298.68358,5.0
8.5761342,16.379988,-302.51413,5.0
7.8273169,15.346464,-296.48883,5.0
5.5416406,15.648777,-296.30251,5.0
4.6613345,15.977944,-299.53134,5.0
6.0105429,20.302699,-296.43891,2.94891
10.16336,20.594648,-299.44576,3.81098
12.520797,22.610995,-299.24385,2.94012
14.889823,20.981092,-300.90685,3.28694
13.538386,13.92527,-301.90661,5.0
11.36325,15.080924,-299.64589,5.0
11.250928,11.935444,-302.21371,5.0
12.235088,17.227422,-297.78633,5.0
14.78062,16.057952,-296.66801,5.0
16.109771,18.456285,-299.34771,5.0
12.026934,18.433887,-292.78218,5.0
12.949138,14.287756,-289.09203,4.56948
14.42939,23.167482,-289.89567,5.0
14.685235,25.613842,-292.81695,5.0
13.134114,19.198639,-290.1796,5.0
9.787168,18.183278,-293.4218,3.45315
7.3882781,15.0339,-292.12652,5.0
6.5570013,10.729982,-302.6483,5.0
11.688184,11.678818,-300.14734,5.0
14.151703,11.396006,-296.35466,5.0
17.177727,11.486711,-302.76285,5.0
22.047268,11.229193,-302.01225,5.0
25.380843,16.490193,-293.13965,5.0
