x1,y1,z1,M1,x2,y2,z2,M2
-182.6892,-68.028441,108.03568,4.44546,-363.6298,-189.24428,-44.583196,4.82717
-182.9709,-69.887001,108.28083,4.87628,-376.1873,-180.24634,-33.497786,5.0
-174.89749,-84.503426,102.31213,2.90227,-376.54595,-181.27926,-28.869491,5.0
-171.70031,-81.069898,101.74517,1.97493,-372.57245,-185.54446,-29.466598,5.0
-174.20706,-80.110475,104.50777,2.1174,-367.35042,-187.11763,-33.815088,5.0
-172.99781,-81.890588,104.974,5.0,-368.65184,-185.52102,-30.298316,5.0
-172.32789,-85.354871,104.9477,3.2028,-362.8452,-189.0557,-33.276635,4.29735
-177.25939,-84.007891,105.45627,3.49216,-362.99808,-204.79922,-34.75594,2.46852
-173.83578,-85.529261,112.73852,3.70069,-363.66922,-207.49725,-30.347835,2.94033
-170.6952,-83.847988,106.99625,3.96092,-356.07318,-200.78666,-27.208459,3.33789
-170.63547,-85.752457,104.28402,5.0,-360.62311,-207.64989,-28.152675,2.80029
-170.38587,-85.066599,104.11999,4.99437,-358.8491,-198.04667,-19.072042,2.80887
-171.11463,-83.801521,100.40933,3.52562,-366.77446,-197.78273,-14.060578,3.2332
-169.12759,-82.069658,100.24174,1.75053,-365.60044,-207.14269,-10.479862,3.58474
-169.98472,-80.920245,100.79355,3.20257,-371.45516,-181.24933,-6.6270356,3.27959
-175.4542,-85.099359,95.868289,3.50032,-370.31239,-188.40932,6.9804529,4.8494
-171.3415,-83.166586,100.75477,2.75512,-367.998,-169.83772,-13.15963,3.21316
-186.93785,-71.981907,90.50533,3.82558,-369.63884,-176.77007,-8.9178662,3.1901
-187.65636,-70.00991,91.200661,2.55839,-364.77305,-170.10478,-11.202928,5.0
-191.86979,-71.478127,89.57644,2.93687,-368.90761,-170.38663,-9.3510327,3.34776
-191.68928,-66.802364,85.29169,2.51557,-370.84508,-167.51372,-12.672618,3.10944
-191.54397,-78.580414,83.154886,5.0,-376.4522,-172.43912,-9.8991015,3.89386
-178.97632,-85.763266,85.7597,4.1912,-374.26281,-171.8038,-6.9395309,3.69105
-186.42081,-79.623744,82.919098,5.0,-372.00179,-176.906,-5.9765645,3.30443
-149.18319,-102.61545,84.833039,2.32385,-370.55085,-168.96502,-16.599483,2.68781
-142.02931,-108.80344,87.388378,5.0,-375.64116,-163.02124,-13.075015,5.0
-140.89093,-110.29573,90.555697,5.0,-371.71093,-161.45419,-15.289405,4.03821
-146.75845,-98.550214,101.37343,4.66001,-375.21184,-160.55985,-15.203349,4.24627
-147.08116,-98.773188,100.31885,4.64144,-373.60417,-154.56992,-15.062486,5.0
-153.65961,-94.673859,101.36452,4.91347,-369.26385,-164.36124,-14.305766,3.57322
-155.52853,-92.633554,95.302219,3.50008,-375.7402,-161.93291,-5.4034962,5.0
-156.32548,-93.318187,90.297623,4.43598,-376.74835,-168.1369,-4.8270625,5.0
-157.33594,-98.346406,87.896504,2.62341,-371.48497,-170.69396,-5.0068675,4.24891
-158.83179,-95.753292,91.210467,3.32549,-374.32724,-175.05074,-2.9722824,3.69075
-160.81661,-102.35347,83.166029,5.0,-379.57716,-168.91778,0.9012173,4.39173
-161.53289,-99.796014,81.652348,3.63988,-378.90505,-168.90721,-2.5025779,5.0
-158.54118,-100.96147,82.473373,1.92019,-381.16848,-158.47455,-12.079357,5.0
-159.41034,-104.18852,82.781814,3.92762,-379.13582,-157.0194,-10.713993,5.0
-161.29977,-109.21941,83.182966,5.0,-384.03959,-157.51194,-8.8890204,5.0
-155.96311,-103.90303,86.354743,4.97429,-372.16621,-180.42975,22.105707,5.0
-154.00772,-105.34116,86.293679,4.85503,-356.91836,-201.8971,39.768425,4.57137
-153.95334,-103.40605,86.506289,4.96607,-359.03516,-201.7257,36.16271,5.0
-156.85456,-99.392411,86.339142,5.0,-357.67027,-202.96679,33.698804,4.83416
-159.17144,-98.198092,87.008175,5.0,-361.30339,-205.03695,34.517061,5.0
-162.34633,-99.419823,84.625331,4.07424,-352.29487,-203.12785,36.290592,2.59565
-160.92224,-99.153279,82.317815,3.31984,-350.47279,-200.67332,38.187679,4.67302
-169.8822,-87.138661,86.791107,5.0,-354.2785,-202.6317,38.504501,2.99679
-166.78887,-98.022142,79.051545,2.46366,-347.41081,-201.20732,35.739158,5.0
-180.75342,-109.91742,73.812944,2.94169,-352.31314,-197.142,38.036239,4.67648
-179.9373,-109.53866,73.705524,2.80832,-357.3073,-194.60802,39.714579,3.31696
-178.31174,-110.27522,73.810269,2.75488,-357.31066,-194.61127,39.712656,3.31928
-178.83502,-111.6846,75.286063,3.30809,-351.64344,-187.28614,51.654785,3.88142
-179.1448,-113.36343,75.317264,4.35834,-356.88615,-189.71206,45.497185,3.59111
-180.65313,-113.69159,74.173981,4.89042,-355.32127,-192.97103,45.718336,2.38094
-176.74368,-112.16732,75.122928,4.11074,-351.95017,-190.69558,48.220702,3.80081
-177.63781,-111.07051,75.206724,4.33826,-348.55935,-188.02303,51.072102,3.57954
-177.41049,-113.37791,77.135821,4.55261,-348.67522,-192.90504,45.716893,4.07583
-174.05017,-111.21035,75.078356,3.53983,-348.29541,-192.18751,46.647649,3.89356
-164.43901,-91.948921,105.29002,2.07888,-354.29917,-189.5694,46.724571,2.83711
-171.22695,-87.642553,107.35506,5.0,-353.12563,-190.46506,41.863586,4.46602
-170.51646,-87.345923,105.75936,4.62877,-349.48145,-189.92083,43.356352,2.9392
-173.92358,-88.332534,112.28477,4.15862,-352.83092,-198.77599,40.104477,4.5916
-175.7515,-87.044167,112.94132,3.58135,-353.76745,-195.8449,43.138567,4.02413
-171.3883,-87.131195,107.34971,2.11878,-352.36506,-196.55932,42.191465,3.36732
-173.52956,-86.028584,103.33997,5.0,-352.06026,-196.44886,45.202959,3.61664
-144.4184,-98.066714,113.22302,2.7674,-351.35643,-202.61259,41.384266,5.0
-146.63053,-97.814768,113.53726,3.99025,-347.6334,-201.26778,42.122716,4.24534
-145.62453,-98.035179,113.4704,5.0,-348.61752,-196.45174,54.42109,3.90659
-148.10008,-98.674683,111.02382,4.29176,-351.69632,-195.95824,48.46541,4.29937
-149.46712,-99.032154,108.69179,3.38404,-349.48482,-187.6693,55.632129,3.50629
-148.55294,-98.131344,107.40186,3.65678,-354.79099,-176.34183,63.660855,5.0
-143.68875,-98.680254,101.90786,5.0,-351.25979,-163.27183,66.65408,5.0
-163.82792,-91.020588,103.66936,3.46168,-360.78465,-151.19245,66.581004,4.38857
-158.06604,-92.473539,105.25882,3.53856,-359.15631,-154.96366,68.023771,4.6931
-160.87009,-92.096122,105.97821,5.0,-350.86749,-179.02508,47.767343,2.61803
-163.89433,-94.20373,104.57374,2.90621,-350.31125,-179.36606,54.408109,5.0
-155.57444,-94.055973,107.03637,4.49045,-365.33122,-151.17502,68.21271,4.42435
-142.93636,-102.77669,105.21023,4.81437,-391.87168,-152.3012,44.06788,5.0
-137.71871,-102.17228,105.59667,5.0,-364.53027,-226.57545,22.446567,2.84206
-143.9954,-100.24218,103.20224,5.0,-365.09035,-220.53528,16.938957,3.77178
-144.9858,-101.97628,102.98963,5.0,-365.90717,-230.34535,33.253618,3.34915
-146.05599,-100.64791,102.09283,5.0,-359.64332,-227.07412,38.754978,2.46975
-148.66482,-100.88693,101.50804,3.33047,-361.59281,-226.75213,29.535403,2.75471
-144.41884,-103.56406,108.32005,4.03962,-353.26409,-226.23796,33.761784,4.86976
-143.7351,-103.02975,108.24071,4.86146,-356.53712,-224.36719,39.591985,2.71342
-144.81509,-101.02387,107.1215,5.0,-356.27943,-218.79768,36.954525,2.57456
-139.68391,-105.04297,108.47249,2.32506,-359.86159,-223.08524,32.545456,2.17175
-66.935413,-314.25842,-266.98097,1.51989,-354.09388,-224.98665,19.993719,3.37956
192.19729,-144.1182,-134.72823,1.99775,-358.67699,-218.25118,17.608659,4.22425
194.84891,-143.23177,-125.12866,2.11913,-362.22165,-222.80676,14.077462,3.84114
190.68851,-204.89476,-85.873695,1.94172,-360.9808,-225.70852,21.351872,3.0188
194.2913,-210.28936,-91.644937,5.0,-350.37134,-259.49744,58.943618,3.17891
37.358802,-239.04941,-50.165808,3.60777,-347.91561,-234.62497,64.23777,1.6382
52.514776,-226.96972,-42.150342,2.34669,-348.35262,-227.19576,56.898937,1.98572
52.379276,-227.59406,-40.843923,2.38087,-350.31269,-237.31171,61.40512,1.62681
56.04759,-222.00089,-47.556536,1.60012,-358.24863,-238.151,43.464042,5.0
54.19605,-222.24058,-49.932694,1.8602,-353.17371,-233.1905,46.984182,2.67598
50.232221,-219.38961,-50.414076,1.74338,-352.94006,-235.1704,54.162921,2.31984
51.291708,-223.73454,-46.113725,1.59082,-351.02518,-227.48289,48.098588,1.5008
65.402009,-209.10797,-46.36556,1.96753,-352.32949,-224.33907,42.676074,4.33557
63.092709,-209.02027,-44.988716,2.62647,-349.68049,-220.50319,45.975063,4.65377
64.318898,-204.63858,-44.939241,1.66752,-350.01606,-223.94953,46.033716,4.23569
67.660495,-208.33453,-48.936945,2.59926,-350.2651,-224.15962,52.875921,2.36497
67.519201,-209.05081,-46.710996,2.04977,-348.73579,-225.01081,52.25718,2.74948
69.461668,-207.75475,-46.315638,1.59185,-352.06459,-221.95413,52.454773,2.28216
69.495098,-203.8443,-47.349274,2.13323,-340.70178,-210.50851,65.227178,2.65735
71.048448,-203.98191,-47.400978,1.74476,-339.95948,-221.00558,67.554547,2.56705
69.461668,-203.81455,-51.766405,2.07606,-344.70412,-214.83765,55.475882,2.89662
72.588872,-200.00115,-48.054856,1.98583,-339.56333,-219.52928,65.004104,2.58502
72.964618,-199.88103,-54.159946,1.88379,-339.40709,-215.05026,68.773279,2.2929
71.239664,-200.85137,-51.946032,1.99591,-345.58536,-221.95244,46.021216,4.22808
59.271067,-210.70924,-54.584276,2.63816,-345.75122,-220.27999,44.273646,4.21059
59.581291,-210.03452,-52.634676,1.93469,-346.58006,-227.67808,48.414449,3.21841
62.391139,-208.56831,-54.047623,1.60691,-345.76612,-231.55615,48.184645,3.71459
37.541995,-203.29606,-91.750574,1.63535,-346.18246,-226.7966,60.754168,1.99352
39.166216,-207.48977,-87.997572,2.7076,-344.24307,-185.70094,56.224428,2.27537
43.927892,-209.7438,-85.715017,5.0,-340.89072,-184.27092,55.487901,3.07859
43.090821,-208.89748,-85.365568,2.47875,-332.39517,-189.81531,62.464719,3.96904
43.095278,-202.35179,-84.98492,3.23979,-333.7389,-192.49207,67.425703,3.45551
44.445378,-201.6052,-84.774092,3.44188,-334.71869,-193.69217,64.167579,3.35663
47.174995,-218.48423,-79.442334,2.81575,-340.37774,-195.19575,58.007094,3.94154
44.116879,-219.26069,-81.341567,2.53672,-345.20652,-194.12954,58.937368,3.86781
45.365353,-215.32293,-83.875511,3.51413,-340.65995,-197.63166,64.271423,3.60004
45.392988,-215.94026,-82.229896,2.64022,-343.65462,-205.74355,69.672304,2.71477
46.941436,-216.2107,-81.431603,4.91549,-343.22578,-207.91191,66.98244,3.02917
46.173006,-219.61559,-80.062783,2.37469,-341.54407,-207.53211,68.053097,2.94445
