#id,x,y,z,mvir,Name,SGX,SGY,SGZ
406,261.64813,321.80414,498.9932,3.5115122e14,,,,
407,231.58488,435.6382,353.10275,2.6191935e14,,,,
408,441.30737,180.33464,275.04013,3.393381e14,,,,
409,159.24715,475.97388,285.14807,3.5213575e14,,,,
410,93.912415,381.5792,158.16896,3.189256e14,,,,
411,71.01887,83.380455,391.0668,3.5022063e14,,,,
412,81.428185,356.00098,383.25928,2.7724445e14,,,,
413,236.35071,327.73834,447.46927,2.7054675e14,,,,
414,479.29718,388.33774,196.88503,3.36482e14,,,,
415,207.03664,205.0465,20.683588,3.4448782e14,,,,
416,393.2817,254.44762,394.21545,3.2420494e14,,,,
417,99.24877,462.52136,161.90013,2.4941555e14,,,,
418,169.02773,42.497173,443.8492,3.3710474e14,,,,
419,14.661513,279.21802,42.3457,1.5683597e14,,,,
420,408.8097,117.14364,395.96643,2.0841384e14,,,,
421,438.67944,192.94472,110.516594,1.81177e14,,,,
422,50.3598,87.00224,427.47968,3.2702173e14,,,,
423,368.27325,285.46176,240.73494,3.3375993e14,,,,
424,327.20477,426.15863,106.63846,2.2363346e14,,,,
425,219.53636,472.73328,167.3887,3.6060233e14,,,,
426,72.50014,358.59674,103.39071,3.3873246e14,,,,
427,336.92477,471.50095,5.5151763,3.3229605e14,,,,
428,92.34673,183.47258,206.53424,3.035608e14,,,,
429,251.12804,337.02072,112.36856,1.965069e14,,,,
430,295.1116,478.8003,112.82238,3.430251e14,,,,
431,362.9783,397.87372,395.8803,3.516796e14,,,,
432,274.1246,376.66635,469.3557,2.4724603e14,,,,
433,1.4321755,329.33536,168.38567,2.6512313e14,,,,
434,123.750725,290.9302,380.15073,3.518579e14,,,,
435,297.15094,378.73218,119.66318,3.0121733e14,,,,
436,402.74792,88.050446,360.50464,3.4052105e14,,,,
437,388.3223,141.02486,342.04675,3.0976982e14,,,,
438,427.86267,267.18582,118.30238,2.405808e14,,,,
439,413.01425,499.83972,177.52556,2.8572267e14,,,,
440,384.81494,196.95079,456.35916,3.2413242e14,,,,
441,272.71753,422.10507,448.09155,2.4812947e14,,,,
442,459.0412,121.72191,187.38914,3.1291907e14,,,,
